sku,name,brand,category,price,compare_price,weight,inventory,short_description,description,health_categories,images,variants,active,featured
TN-CURA-375-120,Terry Naturally Cura Med 375mg 120SG,Terry Naturally,Herbs & Botanicals,69.95,79.95,0.5,25,Premium curcumin supplement for joint health,Terry Naturally Cura Med provides highly bioavailable curcumin for superior absorption and effectiveness. Supports healthy inflammatory response and joint comfort.,"Joint & Arthritis,Anti-Aging",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,true
UN-ALOE-50,Unicity Aloe Vera 50 Capsules,Unicity,Herbs & Botanicals,34.95,,0.3,40,Pure aloe vera capsules for digestive health,Unicity Aloe Vera capsules provide the soothing benefits of aloe vera in convenient capsule form. Supports digestive health and overall wellness.,"Digestive Health,Immune Support",https://images.unsplash.com/photo-1609840114035-3c981b782dfe?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,true
NL-ALLERGIES-1OZ,Newton Labs Allergies,Newton Labs,Homeopathic,17.95,,0.2,30,Natural homeopathic remedy for seasonal allergies,Newton Labs Allergies provides natural relief from seasonal allergy symptoms using homeopathic principles. Available in liquid and pellet forms.,"Allergies,Immune Support",https://images.unsplash.com/photo-1471864190281-a93a3070b6de?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,"[{""sku"":""NL-ALLERGIES-1OZ-LIQUID"",""name"":""1oz Liquid"",""price"":17.95},{""sku"":""NL-ALLERGIES-1OZ-DROPPER"",""name"":""1oz Liquid W/Dropper"",""price"":18.95},{""sku"":""NL-ALLERGIES-1OZ-PELLETS"",""name"":""1oz Pellets"",""price"":20.95}]",true,true
RL-CANNABIS-PETS,REGALABS CANNABIS OIL FOR PETS,Regal Labs,Pet Supplements,29.99,,0.4,15,Organic cannabis oil with CBD for cats and dogs,REGALABS Cannabis Oil for Pets provides natural CBD support for your furry friends. Made with organic ingredients for safety and effectiveness.,Pet Health,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,true
ABP-CHERRY,ADVANCED BLOOD PRESSURE CHERRY,Cardio Amaze,Vitamins,32.95,,0.6,20,Natural cherry-flavored blood pressure support,Advanced Blood Pressure Cherry combines natural ingredients to support healthy blood pressure levels with a delicious cherry flavor.,"Blood Pressure,Heart Health",https://images.unsplash.com/photo-1506905925346-21bda4d32df4?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,true
SE-MALE-FORMULA-4OZ,STANDARD ENZYME MALE FORMULA,Standard Enzyme,Enzymes,71.50,,1.2,12,Specialized enzyme formula for mens health,Standard Enzyme Male Formula provides targeted enzyme support specifically formulated for mens health needs.,"Mens Health,Digestive Health",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,false
SE-HEART-FORMULA-4OZ,STANDARD ENZYME HEART FORMULA,Standard Enzyme,Enzymes,71.50,,1.2,18,Premium enzyme formula for cardiovascular support,Standard Enzyme Heart Formula supports cardiovascular health with a blend of potent enzymes and nutrients.,"Heart Health,Blood Pressure",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,false
HD-CHAGA-60,HOST DEFENSE CHAGA,Host Defence,Vitamins,27.99,,0.4,22,Chaga mushroom immune support capsules,Host Defense Chaga provides powerful immune system support with organic chaga mushroom extract.,"Immune Support,Anti-Aging",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,false
GH-ASHWAGANDHA,GLOBAL HEALING ASHWAGANDHA,Global Healing,Herbs & Botanicals,25.99,,0.3,35,Organic ashwagandha for stress support,Global Healing Ashwagandha provides natural stress relief and adaptogenic support with organic ashwagandha root.,"Stress & Anxiety,Energy & Vitality",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,false
NP-AGELOSS-EYE,NATURES PLUS AGELOSS EYE SUPPORT,Natures Plus,Vitamins,41.61,,0.5,15,Advanced eye health and vision support,Natures Plus AgeLoss Eye Support provides comprehensive nutrition for healthy vision and eye function.,"Eye Health,Anti-Aging",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&q=80,,true,false
